Dimension,Category,Model,N,N_households,mean_kwh,mean_bias,median_bias,MAE,RMSE,R2,sMAPE,MedAE,P10_bias,P90_bias
Heat Distribution,Floor,ANN,50964,566,37.67802546895848,3.1809492237798485,1.3150517051650912,10.535582871372334,15.014668462156957,0.4840716855231376,30.546670873055632,7.447211454420653,-12.480966774115796,20.672073278325595
Heat Distribution,Floor,ElasticNet,50964,566,37.67802546895848,3.5496059245570533,1.1998807560998763,12.972060338115474,18.472044809359986,0.2191136781809231,36.15460863729938,9.357534129235903,-15.415987634230989,24.770403107431775
Heat Distribution,Radiator,RF,13501,150,41.816247685356636,1.736891315452459,-0.2517072921386827,7.671881081560832,12.48461250901777,0.6764130123634464,20.805689241557683,4.538034943001435,-9.221299653679676,14.606578871572921
Heat Distribution,Radiator,XGBoost,13501,150,41.816247685356636,0.5323267768356202,-1.0111019897460949,7.760366688985515,12.127211715885355,0.6946746714404424,21.0748798849502,4.9068295288085935,-10.766203155517578,12.919570465087894
Heat Distribution,Radiator,LightGBM,13501,150,41.816247685356636,0.838924105433954,-0.708770135505091,7.812168776299346,12.142283432135478,0.6939152823291974,21.277347074147414,4.982080643939284,-10.575712121463429,13.588274611149938
Heat Distribution,Radiator,DT,13501,150,41.816247685356636,2.331156131264317,0.6750000000000043,9.737103563722904,14.880973039228154,0.5402692283872441,26.149331090482658,6.303913043478268,-11.97357019064125,17.975754560530717
Heat Distribution,Radiator,ANN,13501,150,41.816247685356636,3.330361320576392,1.4765535201892241,11.918816572718075,17.24606001404619,0.3825231212547041,32.074988446620935,8.078877391992854,-13.806960630493577,23.39624885563078
Heat Distribution,Radiator,ElasticNet,13501,150,41.816247685356636,11.474595621249874,9.224336610751358,16.025534379351743,22.249801596000047,-0.027763522155566767,42.170787142138494,11.7287013435093,-8.618641052347488,33.67922033731495
Heat Distribution,Unknown,RF,1982,22,34.510438950555,-0.05834407702862643,-1.1013217698945064,5.819058436218606,8.50618189732275,0.7975229823135455,19.132250664936706,4.090456161255425,-8.415483885642155,9.318879335201556
Heat Distribution,Unknown,XGBoost,1982,22,34.510438950555,-1.1272573518271884,-1.693629789352417,5.880239494282351,8.673254297696234,0.7894910503039876,19.875156039724818,4.192732315063476,-9.49809844970703,7.6591001739502
Heat Distribution,Unknown,LightGBM,1982,22,34.510438950555,-1.228305132375162,-1.4696550567960873,6.348788990502262,9.437872018897513,0.7507388627601643,21.18930775553566,4.37656133186564,-10.019438860187913,7.781237649528589
