Household_ID,training_days,mae_rf,mae_xgboost,mae_lightgbm
118810,608,6.497068295997556,10.051301801893446,7.60636466457769
118985,1084,7.963462603285109,7.6519079572889535,7.5502839585278885
118998,467,4.565916811464762,5.357232554541693,5.575340625431863
119122,291,9.78060849461102,11.445298532339244,10.744029082394208
119498,846,3.1664501549075643,3.687909922281901,3.7017428394743432
119681,0,9.984914116179521,9.0448761461046,7.2134560314409555
119771,733,4.506926639707307,4.191708908081054,4.270349641742455
119788,495,1.332389917765207,1.9315232459174259,1.8012993013824103
119816,812,18.18221186679851,15.612112172444661,15.904953475406183
119878,574,6.41014528334935,7.713074535793729,6.359068611970363
120104,391,8.734602617207191,11.226992653647624,13.203094376200925
120112,601,6.0829659952137165,8.158712291717528,10.675632502608146
120116,848,15.114739132451463,21.48184870062934,20.256109157972567
120461,456,3.9234358410101513,4.624259772406684,4.619650014842728
120701,755,2.1925338872078752,2.57318158976237,2.095590903005363
120871,168,4.753138696356695,4.882508943345812,4.82304134586074
120891,855,7.189040565992804,8.082255922953289,6.878719484356602
120901,790,5.310169691946904,5.564671479119196,4.568041003135982
120986,770,3.0596108021362713,4.148702285766601,3.8666784292725778
121046,337,9.251697868816766,15.199197959052192,15.196712708732422
121103,446,5.205609607397309,5.737686147165822,5.7852883436332485
121109,377,2.949869758119622,2.3675493282741966,2.3446782518082534
121120,973,11.065494505112897,11.163775394863551,10.846796884397426
121121,900,2.847457015201797,3.1695433408949114,2.9539298871411757
121299,455,5.830197581690819,5.3064027150472,4.962610020327983
121681,1086,3.917884892430194,4.134266173044841,4.458048348806565
121697,581,4.98986543033545,5.124172954983181,5.019037471678151
121778,645,4.0799615605751,5.350814373440212,5.421662319550196
121848,469,11.045952455917007,13.160114305284287,12.144796576995999
121876,383,2.1497073325072513,3.0965599755181206,3.343710894434871
121887,362,6.198186785606265,7.64813431209988,7.164458706307219
122102,139,2.845578923397915,3.4489853820800787,4.1637459408514195
122108,467,5.287962707387208,5.746414607577854,6.151851714808917
122110,560,5.558199207642587,5.480336439344618,5.374681640735352
122117,354,6.102366739671963,9.990389584011501,9.746373272875603
122671,138,5.035012997162649,6.712926814047138,7.3857597583486685
122841,567,12.574120671304314,11.252786510891385,11.01346958732617
122881,396,1.746775277171285,2.792584555489677,2.3546638246274574
122911,173,8.085154535882648,7.969335054185654,8.982949098006348
167211,183,4.465691641567643,5.371392511155871,5.019514866352629
182067,1073,11.563347701937447,11.607234630584717,12.480349358904057
182101,393,16.502735752564572,15.96316835700141,16.216450789377166
210757,481,3.5517631258215423,3.7037781728108725,3.881640482743041
211457,860,4.080841459126935,4.860443958706326,4.161967891363239
274791,635,3.7633573493373067,3.6649286931355793,3.934568415232392
279461,481,3.8809958743003508,5.146303809271919,5.004278366909831
287100,225,4.495027565447975,4.935959410615019,5.894775709269376
298120,484,3.82198248241405,4.02300127834744,4.053519138683204
310781,1584,7.5073662607746305,7.4203557332356755,7.491601061466802
311110,209,5.784497935262276,5.965782087537976,5.598613354425338
376757,195,28.357329663625386,25.316023579915367,25.830816136745575
382698,677,23.268346574627245,23.032826087103953,22.08994711995839
384398,216,31.838887999619796,27.786211048762002,27.589477968632515
384468,482,5.344565318422213,4.9190869670444055,4.5973076107655215
385971,623,2.6698127820026323,6.008020712110733,7.296240697729612
386751,69,6.753303724981273,5.670291880289714,5.426460348106549
410083,400,27.80974650042489,24.80071811591255,22.838553905609373
410190,197,7.855610402727483,8.041706251356338,6.7402521571636616
410269,552,9.080058347747313,7.015427380032009,10.778282160929148
410387,1102,3.716576863035507,3.787435304429796,3.9172757063314854
411684,628,4.04091842224102,4.998974513583714,4.535999136101275
411810,837,6.989307963468996,8.356042047288682,7.017610751611442
412211,0,15.922017022119622,16.250437927246093,17.13239253806091
417510,545,4.075391547698024,5.830200054725904,5.916544714233988
419075,1105,5.7683554707172116,6.039256810824076,6.01415375951156
461018,1548,6.855574369430226,6.8571656994289825,6.531211054190103
461031,698,5.817968890340176,6.208679776509603,6.342123730917375
461034,905,2.711340628131322,3.5480434994167744,3.6681617506679465
461086,484,6.833268833819491,8.940252129448785,8.179966749158993
461095,1548,8.123618079394191,8.714228775448268,8.171949245078633
461128,441,16.4360909481424,21.426893690321183,21.152124995930443
461132,378,8.519750642354717,9.282986404418946,7.405957181402751
461218,756,1.8618760228652687,2.484567207336426,2.1716942457083213
461686,414,3.8261192168055156,3.8331609641181092,3.9996005543719257
466627,386,3.6839941727627536,4.620313203599718,4.803872508407322
466710,782,2.735884351826179,2.7492292353312178,3.0955558672836037
466866,469,2.3701081466956344,2.8667832942538793,3.0999264528991115
466870,398,3.7966330323151523,4.585878459930419,4.559064991567227
467071,1102,7.745206869489571,7.512740423414441,7.016847714573051
467072,463,4.0064448711777345,4.025433753119574,4.239904826901149
467969,190,17.02138349426007,16.547653018527562,15.891643308951378
468312,200,13.622907417189614,11.291977920532226,10.577349408047048
468467,693,9.401727959223965,9.67282781982422,9.640030202866862
468475,98,1.9317854070229525,3.0668840840657556,2.0591067955112
468611,1546,5.656820472673209,5.161779713948568,5.098750105916435
468711,216,17.552516381810204,17.396164052327475,17.87838798314392
469097,90,12.878054235466667,13.628443709479436,15.59451816152691
469812,281,5.0868974272423655,4.906936112297905,5.024048799054794
469980,264,10.657023984721713,11.475375694274902,11.50529302474089
477661,863,5.725654236076235,6.589188080691221,6.1991595768968
478111,719,5.234613967565961,5.770521166483562,5.2751957752687755
479721,476,3.9530903120411884,5.9882367867363815,5.207291868477125
481791,873,10.342007339822231,10.066089603000215,9.8625288624047
488371,198,3.1773335571078665,3.05065675672594,2.9570669014639983
490811,1551,30.733831223947963,27.696462823655867,27.915172233457668
510910,180,6.777212718019274,6.682124836680653,7.2740127259083485
511610,826,3.3574320908534205,2.732633143954807,3.2429446013656946
